Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Total Households,Total Owner Occupied,% Owner Occupied
77364,1822.0,57.2,26574.0,17916.0,15.148188803512623,1822.0,1652.0,90.66959385290889
77365,31406.0,37.0,72623.0,29903.0,12.023180284022162,31224.0,24429.0,78.23789392774788
77367,111.0,38.8,50795.0,26817.0,14.414414414414415,99.0,46.0,46.464646464646464
77368,181.0,71.3,38162.0,26586.0,0.0,181.0,181.0,100.0
77369,482.0,56.8,35417.0,22849.0,42.11618257261411,482.0,418.0,86.72199170124482
77371,8025.0,36.6,39028.0,18756.0,21.682242990654206,7939.0,5648.0,71.14246126716212
77372,12351.0,35.0,51818.0,21715.0,20.014573718727227,12346.0,9110.0,73.78908148388142
77373,58255.0,33.9,67924.0,27522.0,12.098532314822762,58236.0,41221.0,70.7826773816883
77374,463.0,27.8,48777.0,20213.0,13.822894168466522,463.0,463.0,100.0
77375,50525.0,33.1,69446.0,30387.0,9.925779317169718,49977.0,37518.0,75.07053244492467
77376,430.0,46.9,35938.0,14860.0,11.627906976744185,419.0,419.0,100.0
77377,36758.0,35.4,96064.0,37624.0,6.706023178627782,36712.0,30664.0,83.52582261930705
77378,16150.0,32.0,55114.0,20191.0,19.808049535603715,15962.0,11532.0,72.24658564089714
77379,78226.0,38.5,99693.0,44516.0,3.969268529644875,78120.0,64067.0,82.01100870455709
77380,26691.0,37.1,68839.0,51273.0,11.355887752425911,26673.0,12548.0,47.04382709106587
77381,36919.0,44.1,103439.0,59362.0,4.103578103415585,36586.0,28059.0,76.6932706499754
77382,40546.0,38.5,139902.0,61866.0,2.414541508410201,40482.0,31081.0,76.77733313571464
77384,16472.0,39.7,85371.0,44730.0,4.15857212238951,16368.0,10927.0,66.75830889540568
77385,23578.0,33.9,88220.0,35924.0,7.9608109254389685,23560.0,19234.0,81.6383701188455
77386,53042.0,32.4,99076.0,39323.0,3.563214056785189,53032.0,39798.0,75.04525569467492
77388,45841.0,37.6,87574.0,37415.0,5.255120961584607,45804.0,37144.0,81.09335429220155
77389,31883.0,35.5,115725.0,48226.0,4.886616692281153,31876.0,26387.0,82.78014807378592
77396,54352.0,31.3,64195.0,27270.0,12.052914336178981,51885.0,32513.0,62.66358292377373
77401,19062.0,43.1,172205.0,93024.0,1.9830028328611897,18999.0,16739.0,88.10463708616243
77406,41008.0,38.3,114696.0,43301.0,3.621244635193133,38480.0,34705.0,90.18970893970894
77407,48157.0,32.4,96947.0,31415.0,6.431048445708828,48157.0,39528.0,82.08152501194012
77412,105.0,27.5,63750.0,25128.0,0.0,105.0,105.0,100.0
77414,23369.0,36.0,46104.0,23880.0,20.651290170739014,22988.0,12886.0,56.055333217330784
77415,86.0,24.5,-666666666.0,21748.0,0.0,86.0,86.0,100.0
77417,2760.0,46.7,42219.0,23283.0,22.282608695652176,2760.0,1720.0,62.31884057971014
77418,9926.0,46.0,59984.0,31324.0,10.407011887970985,9759.0,7028.0,72.01557536632852
77419,1473.0,23.9,60663.0,22056.0,15.478615071283096,1473.0,1122.0,76.17107942973523
77420,2245.0,37.2,46756.0,22555.0,8.240534521158128,2245.0,1613.0,71.84855233853007
77422,13378.0,41.5,53929.0,24977.0,12.51308117805352,12235.0,10218.0,83.51450756027789
77423,11551.0,34.6,52019.0,25229.0,14.345078348194962,11191.0,8072.0,72.12938968814225
77426,2350.0,46.2,65352.0,34238.0,14.638297872340425,2345.0,1768.0,75.39445628997868
77428,0.0,-666666666.0,-666666666.0,-666666666.0,,0.0,0.0,
77429,86399.0,34.7,103092.0,41786.0,4.549821178485862,86371.0,73481.0,85.07600930868
77430,2051.0,40.0,72935.0,35064.0,10.628961482203803,2051.0,1861.0,90.73622623110677
77432,112.0,48.5,-666666666.0,25421.0,16.964285714285715,112.0,56.0,50.0
77433,75008.0,32.4,103773.0,38826.0,4.388865187713311,74996.0,64924.0,86.56995039735452
77434,4781.0,35.9,40250.0,21742.0,17.569546120058565,4781.0,3819.0,79.87868646726626
77435,4303.0,39.0,55284.0,29816.0,14.710666976528003,4303.0,3089.0,71.78712526144551
77436,43.0,31.4,-666666666.0,,0.0,43.0,43.0,100.0
77437,16875.0,36.7,50465.0,29860.0,18.494814814814816,16702.0,10802.0,64.67488923482217
77440,23.0,-666666666.0,-666666666.0,,0.0,23.0,0.0,0.0
77441,9919.0,40.8,160162.0,62616.0,4.748462546627684,9911.0,9365.0,94.49096962970437
77442,922.0,37.3,62386.0,31825.0,12.039045553145336,922.0,773.0,83.83947939262472
77443,256.0,14.5,-666666666.0,,0.0,256.0,256.0,100.0
77444,708.0,35.8,59886.0,26856.0,21.610169491525422,708.0,555.0,78.38983050847457
77445,13301.0,28.9,43730.0,21127.0,22.93060672129915,13166.0,7539.0,57.26112714567826
77446,6095.0,20.0,20083.0,5168.0,17.63740771123872,1761.0,308.0,17.490062464508803
77447,15246.0,35.1,72775.0,29028.0,12.075298438934803,15172.0,12359.0,81.45926707092012
77448,58.0,53.8,-666666666.0,11422.0,20.689655172413794,35.0,0.0,0.0
77449,119204.0,31.3,72397.0,24693.0,9.424180396630986,119072.0,84386.0,70.86972588013974
77450,74631.0,37.8,101240.0,43426.0,4.591925607321355,74614.0,55646.0,74.5784973329402
77451,79.0,39.8,22083.0,8772.0,35.44303797468354,79.0,62.0,78.48101265822784
